"activity_id" "subject_id" "MEAN" "SD" "activity_label"
1 7 -0.118921881051562 0.47742172919866 "WALKING"
1 5 -0.130617746230469 0.473151535839591 "WALKING"
1 6 -0.144516443713281 0.466121362184903 "WALKING"
1 23 -0.139095132515625 0.457753917831238 "WALKING"
1 7 -0.123284670317969 0.467441413512126 "WALKING"
1 7 -0.160254297914555 0.484150401549542 "WALKING"
1 11 -0.148312902341406 0.48609259228557 "WALKING"
1 6 -0.157201814249609 0.469636897847441 "WALKING"
1 10 -0.116104093445313 0.470679440999647 "WALKING"
1 11 -0.1651956199625 0.503858827920791 "WALKING"
1 21 -0.137291855344531 0.472485676078109 "WALKING"
1 3 -0.180786973258594 0.470036841601223 "WALKING"
1 6 -0.143209074598438 0.455484855712591 "WALKING"
1 3 -0.1736873774125 0.478523111726357 "WALKING"
1 6 -0.121968210310156 0.456642746708396 "WALKING"
1 6 -0.114232568575781 0.468617094475317 "WALKING"
1 11 -0.176566574488281 0.477136523536227 "WALKING"
1 6 -0.1131531998125 0.467520604628465 "WALKING"
1 11 -0.151326000414844 0.515871876164478 "WALKING"
1 30 -0.185658396363281 0.486055035048283 "WALKING"
1 6 -0.105971477571094 0.46856440997697 "WALKING"
1 21 -0.109433860542656 0.450850342457525 "WALKING"
1 3 -0.17234932488125 0.475596254513695 "WALKING"
1 30 -0.176532155123438 0.48938315245575 "WALKING"
1 3 -0.171333949625 0.463114092837458 "WALKING"
1 23 -0.109551327452344 0.476411875804345 "WALKING"
1 14 -0.153779814051562 0.452092469331651 "WALKING"
1 30 -0.195348602227344 0.46805511325868 "WALKING"
1 11 -0.168562111985938 0.488471340424621 "WALKING"
1 11 -0.173712171058594 0.468141392213017 "WALKING"
1 5 -0.135525394054766 0.484730061023203 "WALKING"
1 21 -0.137237587602344 0.468964352826116 "WALKING"
1 26 -0.133941061117188 0.488361904896935 "WALKING"
1 6 -0.141868407417969 0.454875724927526 "WALKING"
1 26 -0.172703521999844 0.486832965770634 "WALKING"
1 6 -0.141529223358594 0.461414124181487 "WALKING"
1 3 -0.1716717187875 0.460959208186647 "WALKING"
1 30 -0.176121934825781 0.488272935867156 "WALKING"
1 3 -0.167233271765625 0.455913969492957 "WALKING"
1 3 -0.157693974416406 0.485516487396503 "WALKING"
1 5 -0.149967923460156 0.480858300647152 "WALKING"
1 14 -0.144746165815625 0.470199047773892 "WALKING"
1 3 -0.174050095942969 0.47573631263441 "WALKING"
1 6 -0.131768970767187 0.468811945999663 "WALKING"
1 27 -0.132879359494531 0.503172712100507 "WALKING"
1 21 -0.11943275775625 0.457299581756668 "WALKING"
1 24 -0.17457415115625 0.477448934215818 "WALKING"
1 21 -0.135622210177422 0.481554187575304 "WALKING"
1 3 -0.181266594746875 0.471177634382093 "WALKING"
1 6 -0.130816464118047 0.460445729675707 "WALKING"
1 14 -0.164003248628516 0.452570759558178 "WALKING"
1 3 -0.1680356748125 0.4801164316785 "WALKING"
1 5 -0.140009623544062 0.482688360170757 "WALKING"
1 3 -0.175832741279688 0.475862295661325 "WALKING"
1 30 -0.173378128255469 0.484265634343211 "WALKING"
1 6 -0.10982850365 0.472785605144906 "WALKING"
1 3 -0.1870145972375 0.53668029668781 "WALKING"
1 26 -0.156573470392969 0.474544632581901 "WALKING"
