"subject_id" "activity_label" "mean" "sd"
1 "LAYING" -0.293383418242722 0.629890671366195
1 "SITTING" -0.310559123873602 0.639754406967972
1 "STANDING" -0.31739994291547 0.648562465599279
1 "WALKING" -0.128585900419166 0.465977806769818
1 "WALKING_DOWNSTAIRS" -0.123607532624496 0.459757862747553
1 "WALKING_UPSTAIRS" -0.17860883285467 0.507006092438517
2 "LAYING" -0.322478637572671 0.634420748382183
2 "SITTING" -0.318454046254012 0.641324626557415
2 "STANDING" -0.297478333835842 0.643828279783151
2 "WALKING" -0.158831640861912 0.474742981792345
2 "WALKING_DOWNSTAIRS" -0.0964905932019638 0.453320455648487
2 "WALKING_UPSTAIRS" -0.158854895140788 0.473708960401248
3 "LAYING" -0.321872537779354 0.62740516808295
3 "SITTING" -0.299320321560758 0.635124083252941
3 "STANDING" -0.308461468239083 0.629812033843987
3 "WALKING" -0.16574911568123 0.475152666431401
3 "WALKING_DOWNSTAIRS" -0.142448619008275 0.477029190175683
3 "WALKING_UPSTAIRS" -0.179924259641269 0.514926661884126
4 "LAYING" -0.319030801782097 0.627257420328966
4 "SITTING" -0.311366931372693 0.624992954950244
4 "STANDING" -0.304802215537658 0.628939775708909
4 "WALKING" -0.171929756666356 0.512998703396425
4 "WALKING_DOWNSTAIRS" -0.13557306356148 0.495180884142266
4 "WALKING_UPSTAIRS" -0.173120173491581 0.503804039768562
5 "LAYING" -0.317834327830607 0.638277953472276
5 "SITTING" -0.315059277323389 0.620250794606183
5 "STANDING" -0.308322862476655 0.623071181940119
5 "WALKING" -0.157301158703764 0.49448350800353
5 "WALKING_DOWNSTAIRS" -0.0937180022567488 0.476393277127324
5 "WALKING_UPSTAIRS" -0.142876529005747 0.486110165592628
6 "LAYING" -0.313727829209269 0.625776295287054
6 "SITTING" -0.309457095959137 0.625086788011727
6 "STANDING" -0.308393553658176 0.625705511339674
6 "WALKING" -0.144216166814515 0.477883709168082
6 "WALKING_DOWNSTAIRS" -0.0645893336302852 0.477137177456395
6 "WALKING_UPSTAIRS" -0.130912144934217 0.479407031765476
7 "LAYING" -0.324767296379196 0.637795424705805
7 "SITTING" -0.312979079442542 0.640139469201615
7 "STANDING" -0.313902111470613 0.638808478540651
7 "WALKING" -0.129597386303828 0.476960351639928
7 "WALKING_DOWNSTAIRS" -0.138324900915593 0.484719089792734
7 "WALKING_UPSTAIRS" -0.185842225236699 0.504604234178041
8 "LAYING" -0.31665660603651 0.636425561241035
8 "SITTING" -0.312529605778385 0.638950559568211
8 "STANDING" -0.310483760667261 0.647299895159612
8 "WALKING" -0.105750629270148 0.469465515658463
8 "WALKING_DOWNSTAIRS" -0.0569094260914877 0.449404078035437
8 "WALKING_UPSTAIRS" -0.102254445687167 0.471333016914386
9 "LAYING" -0.332282196943769 0.629737350724341
9 "SITTING" -0.319551722036825 0.629405058413435
9 "STANDING" -0.322773428914477 0.630104073218109
9 "WALKING" -0.140388141722388 0.480470795366743
9 "WALKING_DOWNSTAIRS" -0.122928513044572 0.479514922808448
9 "WALKING_UPSTAIRS" -0.17092233838384 0.511604515986297
10 "LAYING" -0.346819458027577 0.620792002607417
10 "SITTING" -0.318357075309928 0.637794387213822
10 "STANDING" -0.312743339654502 0.628737742228599
10 "WALKING" -0.128991013671542 0.466691605299388
10 "WALKING_DOWNSTAIRS" -0.08049311181884 0.460171294327166
10 "WALKING_UPSTAIRS" -0.126149631677218 0.471179455866768
11 "LAYING" -0.327095331822227 0.631499898744624
11 "SITTING" -0.313329310614778 0.631763462709563
11 "STANDING" -0.322324974453144 0.639451478777993
11 "WALKING" -0.171080837972544 0.498588928040534
11 "WALKING_DOWNSTAIRS" -0.120055124835506 0.48254224531175
11 "WALKING_UPSTAIRS" -0.172830791585286 0.514421224653242
12 "LAYING" -0.326976990080101 0.619837811839939
12 "SITTING" -0.319149333472593 0.628619925823248
12 "STANDING" -0.305521152563242 0.636082068632548
12 "WALKING" -0.151929640864339 0.476735272679246
12 "WALKING_DOWNSTAIRS" -0.13281760191105 0.485609317648528
12 "WALKING_UPSTAIRS" -0.19053388121792 0.500784373548754
13 "LAYING" -0.317284729138324 0.633073089433022
13 "SITTING" -0.311740486553473 0.643717320974541
13 "STANDING" -0.319366369037067 0.640155601234535
13 "WALKING" -0.114844424898517 0.465814723094015
13 "WALKING_DOWNSTAIRS" -0.128851748719606 0.464655302118394
13 "WALKING_UPSTAIRS" -0.169913494342064 0.516540515151078
14 "LAYING" -0.308688654732163 0.629267348386626
14 "SITTING" -0.313230918093025 0.641132257397615
14 "STANDING" -0.302850609156633 0.645054124444879
14 "WALKING" -0.166920670557047 0.468816993392834
14 "WALKING_DOWNSTAIRS" -0.0718342508170918 0.478197402275301
14 "WALKING_UPSTAIRS" -0.123850191756991 0.497012652883239
15 "LAYING" -0.322727650309755 0.630820064240747
15 "SITTING" -0.3189367198659 0.639670160244787
15 "STANDING" -0.319287368720067 0.638408108850686
15 "WALKING" -0.151977116407969 0.496577315075891
15 "WALKING_DOWNSTAIRS" -0.0906422752821025 0.473758271079459
15 "WALKING_UPSTAIRS" -0.146599706078817 0.498267305483445
16 "LAYING" -0.333981131322311 0.629542063923837
